category_id;category_id_lvl_0;category_id_lvl_1;category_id_lvl_2;category_title_lvl_0;category_title_lvl_1;category_title_lvl_2
101;100;101;;Politics & Nonprofits;Nonprofits & Activism;
102;100;102;;Politics & Nonprofits;News & Politics;
201;200;201;;Cinema;Film & Animation;
202;200;202;;Cinema;Trailers;
203;200;203;;Cinema;Full Movies;
204;200;204;;Cinema;TV Series & Shows;
301;300;301;;Education & Science;Science & Technology;
302;300;302;;Education & Science;Education;
401;400;401;;DIY & Beauty;Other Beauty;
402;400;402;;DIY & Beauty;DIY;
403;400;403;;DIY & Beauty;Get ready with me;
405;400;404;405;DIY & Beauty;Beauty;Tati
406;400;404;406;DIY & Beauty;Beauty;NikkieTutorials
407;400;404;407;DIY & Beauty;Beauty;Tanya Burr
408;400;404;408;DIY & Beauty;Beauty;Zoella
409;400;404;409;DIY & Beauty;Beauty;KathleenLights
410;400;404;410;DIY & Beauty;Beauty;Sprinkleofglitter
411;400;404;411;DIY & Beauty;Beauty;jeffreestar
412;400;404;412;DIY & Beauty;Beauty;Fleur DeForce
413;400;404;413;DIY & Beauty;Beauty;Jackie Aina
414;400;404;414;DIY & Beauty;Beauty;Samantha Maria
415;400;404;415;DIY & Beauty;Beauty;Inthefrow
416;400;404;416;DIY & Beauty;Beauty;Lisa Eldridge
417;400;404;417;DIY & Beauty;Beauty;Desi Perkins
418;400;404;418;DIY & Beauty;Beauty;Lily Pebbles
419;400;404;419;DIY & Beauty;Beauty;Cosmopolitan.com
420;400;404;420;DIY & Beauty;Beauty;AdelaineMorin
421;400;404;421;DIY & Beauty;Beauty;Christen Dominique
422;400;404;422;DIY & Beauty;Beauty;Jaclyn Hill
423;400;404;423;DIY & Beauty;Beauty;Kandee Johnson
424;400;404;424;DIY & Beauty;Beauty;Amelia Liana
425;400;404;425;DIY & Beauty;Beauty;Sylvia Gani
426;400;404;426;DIY & Beauty;Beauty;Kristen Hancher
427;400;404;427;DIY & Beauty;Beauty;Vogue
428;400;404;428;DIY & Beauty;Beauty;Refinery29
429;400;404;429;DIY & Beauty;Beauty;Clevver Style
430;400;404;430;DIY & Beauty;Beauty;Gigi Gorgeous
431;400;404;431;DIY & Beauty;Beauty;Laura Lee
432;400;404;432;DIY & Beauty;Beauty;Manny Mua
433;400;404;433;DIY & Beauty;Beauty;Amber Scholl
434;400;404;434;DIY & Beauty;Beauty;heyitsfeiii
435;400;404;435;DIY & Beauty;Beauty;Tina Yong
436;400;404;436;DIY & Beauty;Beauty;Nicol Concilio
437;400;404;437;DIY & Beauty;Beauty;Joan Kim
438;400;404;438;DIY & Beauty;Beauty;Shay Mitchell
439;400;404;439;DIY & Beauty;Beauty;Nicole Guerriero
440;400;404;440;DIY & Beauty;Beauty;Sophie Louise
441;400;404;441;DIY & Beauty;Beauty;HelloOctoberxo
442;400;404;442;DIY & Beauty;Beauty;emilynoel83
443;400;404;443;DIY & Beauty;Beauty;Casey Holmes
444;400;404;444;DIY & Beauty;Beauty;RachhLoves
445;400;404;445;DIY & Beauty;Beauty;Carli Bybel
446;400;404;446;DIY & Beauty;Beauty;Jessica Clements
447;400;404;447;DIY & Beauty;Beauty;thataylaa
448;400;404;448;DIY & Beauty;Beauty;The Anna Edit
449;400;404;449;DIY & Beauty;Beauty;Clicknetwork
450;400;404;450;DIY & Beauty;Beauty;Roxette Arisa
451;400;404;451;DIY & Beauty;Beauty;Claire Marshall
452;400;404;452;DIY & Beauty;Beauty;Dina Tokio
453;400;404;453;DIY & Beauty;Beauty;MsAaliyahJay
454;400;404;454;DIY & Beauty;Beauty;Denitslava Makeup
455;400;404;455;DIY & Beauty;Beauty;grav3yardgirl
456;400;404;456;DIY & Beauty;Beauty;sophdoesnails
457;400;404;457;DIY & Beauty;Beauty;Niki and Gabi
458;400;404;458;DIY & Beauty;Beauty;pixiwoo
459;400;404;459;DIY & Beauty;Beauty;Tasty
460;400;404;460;DIY & Beauty;Beauty;Jenny Mustard
461;400;404;461;DIY & Beauty;Beauty;PONY Syndrome
462;400;404;462;DIY & Beauty;Beauty;Allie Glines
463;400;404;463;DIY & Beauty;Beauty;Jessica Vu
464;400;404;464;DIY & Beauty;Beauty;Nikita Dragun
465;400;404;465;DIY & Beauty;Beauty;Edward Avila
466;400;404;466;DIY & Beauty;Beauty;Patricia Bright
467;400;404;467;DIY & Beauty;Beauty;InStyle
468;400;404;468;DIY & Beauty;Beauty;RawBeautyKristi
469;400;404;469;DIY & Beauty;Beauty;Alissa Ashley
470;400;404;470;DIY & Beauty;Beauty;John Maclean
471;400;404;471;DIY & Beauty;Beauty;Makeupshayla
472;400;404;472;DIY & Beauty;Beauty;Ingrid Nilsen
473;400;404;473;DIY & Beauty;Beauty;Jenn Im
474;400;404;474;DIY & Beauty;Beauty;Rachelleea
475;400;404;475;DIY & Beauty;Beauty;Shameless Maya
476;400;404;476;DIY & Beauty;Beauty;All Things Adrienne
477;400;404;477;DIY & Beauty;Beauty;RachhLovesLife
478;400;404;478;DIY & Beauty;Beauty;INSIDER
479;400;404;479;DIY & Beauty;Beauty;Maggie Lindemann
480;400;404;480;DIY & Beauty;Beauty;MITCHELL WIGGS
481;400;404;481;DIY & Beauty;Beauty;mayratouchofglam
482;400;404;482;DIY & Beauty;Beauty;Charlotte Tilbury
483;400;404;483;DIY & Beauty;Beauty;Claudia Sulewski
484;400;404;484;DIY & Beauty;Beauty;Chriselle Lim
485;400;404;485;DIY & Beauty;Beauty;Alexandra Larouche
486;400;404;486;DIY & Beauty;Beauty;First We Feast
487;400;404;487;DIY & Beauty;Beauty;Rainie Tian
488;400;404;488;DIY & Beauty;Beauty;Nazanin Kavari
489;400;404;489;DIY & Beauty;Beauty;Amanda Ensing
490;400;404;490;DIY & Beauty;Beauty;Lauren Elizabeth
491;400;404;491;DIY & Beauty;Beauty;Allana Davison
492;400;404;492;DIY & Beauty;Beauty;PatrickStarrr
493;400;404;493;DIY & Beauty;Beauty;Aspyn Ovard
494;400;404;494;DIY & Beauty;Beauty;Wayne Goss
495;400;404;495;DIY & Beauty;Beauty;Chloe Morello
496;400;404;496;DIY & Beauty;Beauty;toofacedcosmetics
497;400;404;497;DIY & Beauty;Beauty;Other Channel
501;500;501;;Travel & Events;Strictly Dumpling;
502;500;502;;Travel & Events;The Food Ranger;
503;500;503;;Travel & Events;Mark Wiens;
504;500;504;;Travel & Events;Simon and Martina;
505;500;505;;Travel & Events;INSIDER;
506;500;506;;Travel & Events;Condé Nast Traveler;
507;500;507;;Travel & Events;Australia;
508;500;508;;Travel & Events;Best Ever Food Review Show;
509;500;509;;Travel & Events;FOOD INSIDER;
510;500;510;;Travel & Events;Disney Parks;
511;500;511;;Travel & Events;Sam Chui;
512;500;512;;Travel & Events;oregon;
513;500;513;;Travel & Events;Travel Thirsty;
514;500;514;;Travel & Events;KickThePj;
515;500;515;;Travel & Events;wdwmagic;
516;500;516;;Travel & Events;Silesian Sailor;
517;500;517;;Travel & Events;Theme Park Review;
518;500;518;;Travel & Events;Horizon Productions SFL;
519;500;519;;Travel & Events;Great Big Story;
520;500;520;;Travel & Events;Cloth Map;
521;500;521;;Travel & Events;Inside the Magic;
522;500;522;;Travel & Events;Lyft;
523;500;523;;Travel & Events;Turkish Airlines;
524;500;524;;Travel & Events;Bikepacking Scotland;
525;500;525;;Travel & Events;Orion Acaba;
526;500;526;;Travel & Events;Quartz;
527;500;527;;Travel & Events;Emirates;
528;500;528;;Travel & Events;fliptopbattles;
529;500;529;;Travel & Events;Sailing La Vagabonde;
530;500;530;;Travel & Events;Your Morning;
531;500;531;;Travel & Events;Eat With Mikey;
532;500;532;;Travel & Events;grobbo64;
533;500;533;;Travel & Events;Valk Aviation;
534;500;534;;Travel & Events;Halfway Anywhere;
535;500;535;;Travel & Events;Red Robot - Intelligent Distribution;
536;500;536;;Travel & Events;Air Canada;
537;500;537;;Travel & Events;THE KING;
538;500;538;;Travel & Events;India Survival Guide;
539;500;539;;Travel & Events;AirPano;
540;500;540;;Travel & Events;WestJet;
541;500;541;;Travel & Events;National Geographic;
542;500;542;;Travel & Events;OjO Commuter Scooter by OjO Electric;
543;500;543;;Travel & Events;Jason Magbanua;
544;500;544;;Travel & Events;Vostok.bike;
545;500;545;;Travel & Events;Collin Abroadcast;
546;500;546;;Travel & Events;Kyle Gunderson;
547;500;547;;Travel & Events;Thinknoodles;
548;500;548;;Travel & Events;Truthstream Media;
549;500;549;;Travel & Events;LE GRAND JD;
550;500;550;;Travel & Events;SOX Ph;
551;500;551;;Travel & Events;Other Channel;
600;600;;;Music;;
700;700;;;Pets & Animals;;
801;800;801;;Entertainment;Autos & Vehicles;
802;800;802;;Entertainment;Sports;
803;800;803;;Entertainment;Gaming;
804;800;804;;Entertainment;People & Blogs;
805;800;805;;Entertainment;Comedy;
806;800;806;;Entertainment;Other Entertainment;
